종목코드,종목명,ESG등급,환경,사회,지배구조,ESG등급_ca,환경_ca,사회_ca,지배구조_ca,연도,종가,거래량
008490,서흥,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2015.0,47852.82258064516,9718619.0
008490,서흥,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,45915.510204081635,7325991.0
008490,서흥,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2013.0,30377.125506072876,10579526.0
008490,서흥,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2012.0,15117.943548387097,9870963.0
008490,서흥,B이하,B,B이하,,2.0,3.0,2.0,,2011.0,10803.870967741936,8367466.0
003410,쌍용씨앤이,A,A,A,B+,6.0,6.0,6.0,5.0,2021.0,7672.298387096775,341760167.0
093050,LF,B,D,B,B+,3.0,0.0,3.0,5.0,2021.0,17899.395161290322,38425813.0
093050,LF,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2018.0,27469.67213114754,17745307.0
093050,LF,B이하,B+,B이하,B이하,2.0,5.0,2.0,2.0,2017.0,26525.102880658436,24397585.0
093050,LF,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2016.0,23285.162601626016,20301027.0
093050,LF,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2015.0,31759.879032258064,21341568.0
093050,LF,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,29577.14285714286,30019388.0
093050,LF,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2013.0,30210.323886639675,39650413.0
093050,LF,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2012.0,34740.52419354839,57437230.0
093050,LF,B이하,B+,B이하,,2.0,5.0,2.0,,2011.0,39235.08064516129,51303290.0
105560,KB금융,A+,A+,A+,A+,7.0,7.0,7.0,7.0,2021.0,52923.99193548387,414417975.0
105560,KB금융,A+,A+,A,A+,7.0,7.0,6.0,7.0,2018.0,55745.69672131148,256652818.0
105560,KB금융,A,A,A,A,6.0,6.0,6.0,6.0,2017.0,53788.27160493827,258860466.0
105560,KB금융,A+,A+,A+,A,7.0,7.0,7.0,6.0,2016.0,35822.35772357724,249286118.0
105560,KB금융,B+,A,B+,B+,5.0,6.0,5.0,5.0,2015.0,36953.22580645161,232102312.0
105560,KB금융,A,A,B+,A,6.0,6.0,5.0,6.0,2014.0,38046.73469387755,261880767.0
105560,KB금융,A+,A+,A+,A+,7.0,7.0,7.0,7.0,2013.0,37606.68016194332,305297851.0
105560,KB금융,A+,A+,A+,A,7.0,7.0,7.0,6.0,2012.0,38574.596774193546,332896059.0
105560,KB금융,A+,A+,A+,A,7.0,7.0,7.0,6.0,2011.0,48885.8870967742,591565548.0
005940,NH투자증권,A,A,A+,A,6.0,6.0,7.0,6.0,2021.0,12546.975806451614,228180885.0
005940,NH투자증권,B+,B+ 이하,A,B이하,5.0,4.0,6.0,2.0,2018.0,14211.88524590164,258150136.0
005940,NH투자증권,B+,A,B이하,B이하,5.0,6.0,2.0,2.0,2017.0,13295.473251028807,285416816.0
005940,NH투자증권,B+,A+,B+,B이하,5.0,7.0,5.0,2.0,2016.0,9788.536585365853,255185716.0
005940,NH투자증권,B+,A,B+,B이하,5.0,6.0,5.0,2.0,2015.0,11626.451612903225,426080870.0
005940,NH투자증권,B+,A,B+,B이하,5.0,6.0,5.0,2.0,2014.0,10104.857142857143,253822885.0
005940,NH투자증권,B+,B+,B+,B이하,5.0,5.0,5.0,2.0,2013.0,11456.923076923076,208311962.0
005940,NH투자증권,A,A,A,B+,6.0,6.0,6.0,5.0,2012.0,11680.443548387097,294047606.0
005940,NH투자증권,B+,A,B+,B이하,5.0,6.0,5.0,2.0,2011.0,15967.754032258064,396614330.0
010060,OCI,A,B+,A+,A,6.0,5.0,7.0,6.0,2021.0,120446.7741935484,106187303.0
010060,OCI,A,B+,A+,A,6.0,5.0,7.0,6.0,2018.0,127129.09836065574,65820982.0
010060,OCI,A,B+,A+,A,6.0,5.0,7.0,6.0,2017.0,96421.81069958847,65861000.0
010060,OCI,B+,B+,A,B+,5.0,5.0,6.0,5.0,2016.0,89814.22764227643,58518262.0
