종목코드,종목명,ESG등급,환경,사회,지배구조,평가년도,ESG등급_ca,환경_ca,사회_ca,지배구조_ca
002960,한국쉘석유,B+,B,B+,B+,2012,5.0,3.0,5.0,5.0
002960,한국쉘석유,B이하,B,B이하,,2011,2.0,3.0,2.0,
007210,벽산,B,B+,B,B,2021,3.0,5.0,3.0,3.0
007210,벽산,B이하,C,B이하,B+,2018,2.0,1.0,2.0,5.0
007210,벽산,B이하,C,B이하,B+,2017,2.0,1.0,2.0,5.0
007210,벽산,B이하,C,B이하,B+,2016,2.0,1.0,2.0,5.0
007210,벽산,B이하,D,B이하,B이하,2015,2.0,0.0,2.0,2.0
007210,벽산,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
007210,벽산,B이하,C,B이하,B이하,2013,2.0,1.0,2.0,2.0
007210,벽산,B이하,C,B이하,B+,2012,2.0,1.0,2.0,5.0
018880,한온시스템,B+,B+,B+,B+,2021,5.0,5.0,5.0,5.0
018880,한온시스템,B+,B+,B+,B+,2018,5.0,5.0,5.0,5.0
018880,한온시스템,B이하,B,B이하,B+,2017,2.0,3.0,2.0,5.0
018880,한온시스템,B이하,B,B이하,B+,2016,2.0,3.0,2.0,5.0
018880,한온시스템,B이하,C,B이하,B+,2015,2.0,1.0,2.0,5.0
018880,한온시스템,B이하,C,B+,B+,2014,2.0,1.0,5.0,5.0
018880,한온시스템,B이하,C,B이하,B+,2013,2.0,1.0,2.0,5.0
018880,한온시스템,B이하,B,B이하,B+,2012,2.0,3.0,2.0,5.0
018880,한온시스템,B이하,C,B이하,A,2011,2.0,1.0,2.0,6.0
028670,팬오션,B+,B+,D,A,2021,5.0,5.0,0.0,6.0
028670,팬오션,B+,B+,B이하,B이하,2018,5.0,5.0,2.0,2.0
028670,팬오션,B이하,B+,B이하,B이하,2017,2.0,5.0,2.0,2.0
028670,팬오션,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
028670,팬오션,B+,B,B+,B+,2013,5.0,3.0,5.0,5.0
028670,팬오션,B+,B+,B이하,B+,2012,5.0,5.0,2.0,5.0
028670,팬오션,B이하,B+,B이하,B+,2011,2.0,5.0,2.0,5.0
105630,한세실업,B,B,B,B+,2021,3.0,3.0,3.0,5.0
105630,한세실업,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
105630,한세실업,B이하,B+,B이하,B이하,2017,2.0,5.0,2.0,2.0
105630,한세실업,B이하,B+,B이하,B이하,2016,2.0,5.0,2.0,2.0
105630,한세실업,B이하,B+,B이하,B이하,2015,2.0,5.0,2.0,2.0
105630,한세실업,B이하,B+,B이하,B이하,2014,2.0,5.0,2.0,2.0
105630,한세실업,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
105630,한세실업,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
105630,한세실업,B이하,B,B이하,,2011,2.0,3.0,2.0,
008490,서흥,B,C,B,B+,2021,3.0,1.0,3.0,5.0
008490,서흥,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
008490,서흥,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
008490,서흥,B이하,C,B이하,B이하,2016,2.0,1.0,2.0,2.0
008490,서흥,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
008490,서흥,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
008490,서흥,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
008490,서흥,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
008490,서흥,B이하,B,B이하,,2011,2.0,3.0,2.0,
003410,쌍용씨앤이,A,A,A,B+,2021,6.0,6.0,6.0,5.0
093050,LF,B,D,B,B+,2021,3.0,0.0,3.0,5.0
093050,LF,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
093050,LF,B이하,B+,B이하,B이하,2017,2.0,5.0,2.0,2.0
093050,LF,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
093050,LF,B이하,B,B이하,B이하,2015,2.0,3.0,2.0,2.0
