종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
34220,LG디스플레이,"14,350",100,0.7,"11,303,382,850","5,134,655,295,000"
51900,LG생활건강,"566,000","-12,000",2.08,"30,220,956,000","8,839,899,502,000"
373220,LG에너지솔루션,"491,000","-6,500",1.31,"111,224,263,500","114,894,000,000,000"
32640,LG유플러스,"11,050",150,1.38,"8,308,940,600","4,824,555,539,050"
11070,LG이노텍,"279,000",0,0.0,"52,858,381,000","6,603,122,853,000"
66570,LG전자,"80,800",200,0.25,"34,471,018,000","13,222,743,371,200"
51910,LG화학,"575,000","-18,000",3.04,"148,606,450,000","40,590,597,225,000"
79550,LIG넥스원,"89,400","1,100",1.25,"15,725,202,800","1,966,800,000,000"
6260,LS,"64,300","2,100",3.38,"7,383,800,800","2,070,460,000,000"
10120,LS ELECTRIC,"49,400",200,0.41,"1,712,153,050","1,482,000,000,000"
1120,LX인터내셔널,"43,550",500,1.16,"13,647,908,050","1,687,998,000,000"
35420,NAVER,"168,000",-500,0.3,"145,343,185,000","27,560,246,280,000"
5940,NH투자증권,"8,910",-170,1.87,"4,132,904,830","2,955,143,356,110"
10060,OCI,"103,500",500,0.49,"22,697,126,000","2,468,409,898,500"
178920,PI첨단소재,"34,150",200,0.59,"1,656,260,700","1,002,859,896,300"
5490,POSCO홀딩스,"250,500","-4,500",1.76,"100,614,154,500","21,185,093,115,000"
10950,S-Oil,"86,500","1,600",1.88,"26,161,270,100","9,738,411,508,000"
34730,SK,"206,500","2,000",0.98,"17,601,228,000","15,311,836,438,500"
11790,SKC,"97,400","-2,600",2.6,"26,807,080,700","3,688,372,225,200"
1740,SK네트웍스,"3,845",-30,0.77,"981,873,700","954,281,502,715"
302440,SK바이오사이언스,"73,200","-1,700",2.27,"16,812,802,200","5,620,592,167,200"
326030,SK바이오팜,"55,400",-100,0.18,"3,432,562,700","4,338,554,050,000"
402340,SK스퀘어,"38,500",-250,0.65,"5,845,004,850","5,446,501,483,500"
361610,SK아이이테크놀로지,"50,400",-700,1.37,"24,375,643,950","3,593,398,636,800"
