기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
엘앤씨바이오,290650,C,D,C,B+,2021
엘앤에프,66970,B+,B,B+,B+,2021
엘에스일렉트릭,10120,A,B+,A+,B+,2021
엠씨넥스,97520,C,C,B,B,2021
영보화학,14440,B,B,C,B,2021
영원무역,111770,B+,B+,B+,B+,2021
영원무역홀딩스,9970,A,B+,B+,A,2021
영진약품,3520,B+,B+,A,B+,2021
영풍,670,C,D,C,B+,2021
영풍정밀,36560,C,D,C,B+,2021
영풍제지,6740,B,B,C,B,2021
영화금속,12280,C,C,C,B+,2021
영흥,12160,B,C,B,B+,2021
예스코홀딩스,15360,B+,B,B+,B+,2021
오뚜기,7310,A,B+,A+,B+,2021
오리엔트바이오,2630,C,D,C,C,2021
오리온,271560,A,A,A,B+,2021
오리온홀딩스,1800,A,A,A,A,2021
오리콤,10470,B,D,B+,B+,2021
오스코텍,39200,C,D,C,B,2021
오스템임플란트,48260,C,C,B+,D,2021
오이솔루션,138080,B,D,B,B+,2021
와이솔,122990,C,D,B+,B,2021
와이즈버즈,273060,B,D,B,B+,2021
와이지엔터테인먼트,122870,B,D,B,B,2021
용평리조트,70960,C,C,C,B,2021
우리금융지주,316140,A,A+,A+,A,2021
우리금융캐피탈,33660,B,D,B+,B+,2021
우리기술투자,41190,C,D,C,C,2021
우리들휴브레인,118000,B,D,B,B,2021
우리은행,30,,,,C,2021
우리종금,10050,B,D,B+,B,2021
우리카드,879070,,,,B+,2021
우성사료,6980,C,D,C,B+,2021
우신시스템,17370,B,C,C,B+,2021
우진,105840,B,C,C,B+,2021
우진아이엔에스,10400,C,C,C,B+,2021
우진플라임,49800,B,B,C,B,2021
웅진,16880,B,D,B+,B+,2021
웅진씽크빅,95720,B+,B,A,B+,2021
원림,5820,C,D,B,B,2021
원익IPS,240810,B+,B+,A,B+,2021
원익머트리얼즈,104830,C,C,B,B,2021
원익홀딩스,30530,B,B,C,B,2021
웰바이오텍,10600,B,D,B,B,2021
웹젠,69080,B,D,B,B+,2021
위닉스,44340,C,C,C,B+,2021
위메이드,112040,B,D,C,B+,2021
윌비스,8600,C,D,D,B+,2021
유나이티드,33270,B,C,B,B+,2021
유니드,14830,B+,B,B+,B+,2021
유니온,910,B,B,B,B,2021
유니온머티리얼,47400,B,B,C,B,2021
유니켐,11330,B,C,C,B+,2021
유니퀘스트,77500,B,B,C,B+,2021
유비쿼스홀딩스,78070,B,D,B,B+,2021
유성기업,2920,C,B,D,C,2021
유수홀딩스,700,B+,D,B,A,2021
유안타증권,3470,C,D,C,B,2021
유엔젤,72130,C,D,C,B,2021
유유제약,220,B,D,B,B+,2021
유진기업,23410,C,C,B,B,2021
유진증권,1200,C,C,C,B,2021
유진테크,84370,B,C,B,B+,2021
유틸렉스,263050,B,D,B,B+,2021
유한양행,100,B+,B+,A,B+,2021
유화증권,3460,C,D,C,C,2021
